"Gene","Regulation","Disease","DE_ctrl_adv","DE_ctrl_early","DE_early_adv","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"RETN","increased","Diabetes Mellitis",-0.946,0.981,-1.927,0.43,1.549,3.601,2.668,0.741,1.722,0.397763887,0.435358187,1.397102989,0.538265459,4.607630743,7.350341069,5.839359387,5.16697484,1.911560965,0.436158066,0.485446671,0.399363645,1.397102989,4.617246683,5.925599318,0.671126785,0.876175611,3.922736281,2.764771268,0.538265459,6.34809127,0.538265459,0.403363038,1.090079389,1.387928501,0.538265459,0.485446671,0.788927876,3.421145623,1.266313173,3.040142366,3.292087985,0.442557096,0.485446671,2.012436927,0.746672846
"GPR15","increased","Diabetes Mellitis",-0.33,1.803,-2.133,0.436,1.103,2.532,3.525,1.392,3.195,3.310221052,4.992126462,1.397102989,7.561968168,3.331364954,2.769487603,3.980957649,5.217230336,1.911560965,1.090079389,3.785704203,2.032767645,3.899470158,3.689148801,3.666370962,7.855036226,1.976491825,6.701168893,2.436186927,0.397763887,2.012436927,4.757084109,0.849531882,0.421760249,1.387928501,0.538265459,0.399363645,4.857742667,4.13182593,4.003707171,4.087124805,1.654634553,1.616081744,4.416166294,0.434558309,3.554440151
"LINC01924","increased","Diabetes Mellitis",-1.268,0.654,-1.922,0.666,1.648,2.474,3.226,1.304,1.958,2.97937865,2.487612698,0.945074371,2.055567944,2.447212526,2.769487603,5.101109053,4.213134902,3.264534831,5.791916165,3.282401135,2.032767645,4.408191132,3.409916366,4.852808619,3.350319706,0.876175611,2.992002333,6.25259629,2.230442202,2.012436927,0.538265459,0.849531882,1.090079389,3.785704203,0.538265459,1.021751519,0.404162917,3.421145623,3.301384602,2.158248653,3.292087985,0.442557096,3.767382294,0.434558309,0.40256316
"ACKR1","increased","Diabetes Mellitis",-3.19,0.108,-3.298,0.984,1.481,1.505,9.828,6.53,6.638,9.432538844,9.699450366,7.7379678,9.577863171,10.47659146,10.76435828,11.24980657,9.609690846,10.35020156,9.773928621,9.958690997,8.389837478,10.73035434,10.58409189,10.85802583,10.24539886,7.67837579,9.840951693,10.85361397,8.996771356,9.582632328,7.035627525,4.915226356,5.684145064,6.897958396,7.56776338,7.081931368,6.661234041,6.553187758,6.71409991,6.061869184,5.691598713,7.380134869,6.623160835,6.037648533,8.020436309
"GREM1","increased","Diabetes Mellitis",-3.85,-2.461,-1.389,2.107,2.732,1.297,6.073,4.684,2.223,7.084098768,5.314215924,3.809963495,7.071858518,6.404712899,6.436501688,4.743703943,5.840663217,7.06982917,5.152296597,5.569226609,6.257955429,6.848806873,7.76828278,6.328865961,7.424898285,6.449496647,7.905596549,2.436186927,4.351313741,7.257830981,6.547477864,3.170508835,5.197860419,3.978226805,5.221966142,3.986626744,1.406277477,2.447212526,4.003707171,2.158248653,0.436158066,0.442557096,2.97937865,0.434558309,5.697619513
"ACTA1","increased","Diabetes Mellitis",-1.083,-2.608,1.525,1.804,1.334,0.739,4.327,5.852,3.244,15.34886166,4.024509556,3.538287153,2.998649634,3.331364954,3.207494659,7.820464132,5.217230336,0.397763887,2.97937865,2.654638801,3.244968183,7.178909164,2.592178929,5.581902467,2.504361916,3.74256284,3.224946509,5.733273277,2.230442202,3.310221052,3.098847567,8.198063034,3.873361564,4.709594781,6.843169369,8.390375702,2.451590823,0.419360613,3.301384602,4.204476462,4.010916215,3.674483507,2.97937865,4.196658937,3.957134072
"COL6A5","increased","Diabetes Mellitis",-4.093,-0.39,-3.703,1.204,3.144,2.611,6.002,2.299,1.909,4.990298796,6.524495849,4.611453344,4.154835286,5.919503061,7.105350399,5.997889512,8.381987137,8.07354607,4.740758791,5.370816482,4.18413245,6.848806873,7.86987581,7.88185322,7.155093959,1.976491825,5.103922831,7.599067895,5.197445352,6.34809127,2.306343042,1.989117181,2.134593951,1.387928501,3.0005806,2.973400595,1.998084263,2.447212526,3.301384602,2.669862696,0.436158066,0.442557096,0.397763887,2.654638801,2.829306484
"LINC02133","increased","Diabetes Mellitis",0.61,-1.621,2.231,1.902,0.661,0.347,1.187,3.418,1.797,0.608075447,1.3812812,0.399363645,1.705805889,0.397763887,1.442815717,0.788927876,0.399363645,2.514336283,0.538265459,0.397763887,0.399363645,0.397763887,2.451590823,2.253845551,0.431358794,0.876175611,1.819868736,3.30437363,0.397763887,2.012436927,1.365201229,7.965758952,2.134593951,3.785704203,1.939208231,3.316068475,2.983332323,4.263050366,0.404162917,2.669862696,3.292087985,0.442557096,1.283524232,0.434558309,0.40256316
"RGS1","decreased","Diabetes Mellitis",2.693,4.943,-2.25,0.381,0.663,1.74,5.292,3.042,7.985,3.868859535,4.383082752,4.982576852,4.495764638,5.231776225,5.935359525,4.263050366,6.77808848,5.584042184,3.212672835,7.900453181,5.322412978,8.020436309,6.104776722,6.105066894,6.542456456,3.509227588,7.546324808,4.671411255,4.652172711,2.012436927,3.356967007,3.170508835,2.134593951,3.350319706,3.264534831,2.973400595,7.821770573,6.799525076,8.567215537,7.969303752,7.820464132,7.522326565,8.404501316,7.833266755,9.128226988
"ADAMDEC1","increased","Diabetes Mellitis",-2.236,1.511,-3.747,0.346,1.968,5.69,4.546,0.799,2.31,3.986626744,5.560727816,3.197097342,4.863434937,4.883616074,3.856091811,4.603667768,5.840663217,5.376969294,3.509227588,3.600766498,2.032767645,6.160632696,7.051040667,5.368031113,5.812513449,0.40256316,6.23860966,4.974651751,4.13182593,4.017255252,0.538265459,1.989117181,0.421760249,0.426559521,0.397763887,1.021751519,1.406277477,2.447212526,1.266313173,3.040142366,0.436158066,3.091121373,5.610871796,1.122646648,2.365146714
"RPS4Y1","decreased","Diabetes Mellitis",2.849,-0.876,3.725,1.087,0.717,0.66,7.224,10.949,10.073,12.37011816,12.17038554,12.06269557,12.29434886,12.47705598,13.32077771,2.353524895,2.012436927,1.911560965,12.0336095,12.0567618,0.399363645,0.397763887,2.078368242,0.399363645,12.28349346,1.976491825,13.1872982,1.911560965,0.397763887,13.60021085,12.34946087,12.2543075,12.22080929,3.785704203,12.96036377,12.1231992,11.97246871,12.17623809,3.799929183,12.06223313,3.292087985,11.9761254,11.67000658,11.88071289,11.82376548
"GSTM1","increased","Diabetes Mellitis",-1.255,2.698,-3.953,0.504,1.231,2.443,6.693,2.74,5.438,0.538265459,9.3391238,9.592220489,10.32221792,10.13038453,9.854313627,8.778940923,9.221480925,0.539065338,9.238073375,0.397763887,9.4996315,0.397763887,2.078368242,0.581817451,9.080126113,9.480288257,10.65310039,2.436186927,9.10536399,9.280144709,0.538265459,0.403363038,3.135256584,2.487612698,9.390722811,0.485446671,8.978611181,1.191490883,9.222544406,8.798495959,9.166980652,9.460636075,1.283524232,0.434558309,0.40256316
"ZFP36","decreased","Diabetes Mellitis",2.177,2.956,-0.779,0.781,0.839,1.074,11.317,10.538,13.494,11.00914079,11.50277944,11.06678769,11.50752033,11.39449949,11.30710512,11.19550926,11.57199107,11.04455717,11.18406349,13.1187774,10.8210019,11.6162666,11.30710512,11.46206983,11.51957016,10.51684266,11.29870671,11.37759098,11.39092327,10.44818322,10.6222766,10.1001641,10.62486799,10.9356686,10.30455389,10.63931553,12.91260272,12.02327883,13.32001221,14.07761832,14.10300429,13.32154321,13.22175983,13.40731241,15.05524628
"SLC2A3","decreased","Diabetes Mellitis",1.702,2.94,-1.238,0.742,0.85,1.147,9.677,8.439,11.379,9.461847298,9.767331372,8.759851372,9.280574618,9.789677991,9.702376584,10.48218373,9.756278115,9.540063254,9.421031766,9.892644128,8.930615574,10.2391436,9.785112835,9.972076384,10.82729269,8.480428623,10.05201828,10.25524347,9.6768887,9.146204298,8.584351713,8.289661518,8.439818747,8.403428775,8.577126186,8.338333129,11.28666319,10.05899565,12.13094599,12.92454834,11.28943709,11.39381065,10.37579785,11.23620477,11.71441484
"LOC101926964","increased","Diabetes Mellitis",-1.842,1.561,-3.403,0.606,1.465,2.419,5.802,2.399,3.96,5.713654378,5.560727816,4.177777078,5.462409296,6.829680305,6.411467652,5.497257858,7.797541614,7.285690559,3.864357507,5.529096207,5.152296597,6.95883003,5.885422472,6.961571924,6.77808848,4.730835927,5.5573194,4.103112795,6.23473351,5.346533134,4.878196784,2.654638801,4.027248285,0.426559521,1.387928501,1.021751519,3.969236233,4.617246683,3.570243438,3.904004964,4.316935937,3.904004964,3.767382294,4.037543861,3.554440151
"LOC101927136","decreased","Diabetes Mellitis",2.869,-0.605,3.474,1.079,0.625,0.579,4.772,8.246,7.641,3.986626744,2.777862212,6.740304331,6.703449004,4.466830015,4.447918473,2.650776869,4.298834237,2.514336283,3.74256284,5.213831017,7.49162907,4.827139037,4.437317079,6.019528788,2.880966757,7.720040041,4.608249468,4.912920219,5.522650574,4.240585979,7.352853278,8.727962981,8.843544751,8.003255066,8.630970634,7.914786299,6.237960361,9.175175416,8.148212761,7.60874076,6.71090155,9.23491085,6.159082411,8.225429324,7.271414855
"LTF","increased","Diabetes Mellitis",-3.337,0.103,-3.44,0.989,1.34,1.354,13.145,9.705,9.808,14.10909216,13.70227951,11.28960309,14.02508758,13.54023527,15.34886166,12.68370607,13.16238248,14.28539008,12.74124292,13.22175983,9.589729506,14.17252016,11.46815228,13.91295651,14.58972442,9.552117276,11.77462379,17.28196875,12.49647462,13.09495053,10.39922949,10.95659479,8.974557643,8.609380498,8.760739662,10.53114682,9.440766719,8.246986886,9.394444826,11.9082495,8.896308964,9.734544393,11.91828036,7.794863746,10.93639349
"ADAMTS4","decreased","Diabetes Mellitis",1.596,3.343,-1.747,0.659,0.837,1.27,8.22,6.473,9.816,6.96652251,9.167656254,6.804042347,7.680565385,8.643150414,8.514055595,7.75796721,9.182436526,8.12340908,9.139439082,7.693614891,5.556676405,10.25023179,8.196921118,8.603382842,9.497042268,6.603557234,7.355977006,10.24778002,9.346232114,7.29917233,6.922021055,6.129997918,6.860378057,5.787491425,6.666673288,6.47217857,8.587497536,7.88521287,10.48254737,11.98134924,8.607461777,8.849864197,10.78947264,8.94567127,12.21371188
"SRRM4","decreased","Diabetes Mellitis",4.112,0.075,4.037,0.99,0.462,0.467,3.538,7.575,7.65,2.769487603,3.633229056,6.784768407,4.60935761,2.769487603,0.849531882,2.807771653,3.51372621,0.397763887,3.081863027,3.87914731,6.946426128,0.397763887,5.483157035,1.8756988,3.207494659,5.619184827,2.760054933,2.436186927,3.79572521,6.68568224,7.733233791,8.283015407,8.25096286,7.895542435,5.797667936,7.491997379,7.674079072,7.097292154,8.157700979,8.08200824,7.831409879,6.865605315,7.902544249,7.939761189,7.302396745
"ADIPOQ","increased","Diabetes Mellitis",-3.096,-3.503,0.407,4.582,4.166,0.909,4.074,4.481,0.978,7.213216635,10.79368286,6.333748712,7.712522979,0.876175611,0.397763887,5.154120018,0.645282934,0.539065338,0.397763887,0.397763887,3.244968183,3.899470158,8.243249139,0.399363645,0.397763887,0.876175611,3.922736281,6.455941153,7.824123106,9.834696604,0.538265459,6.912037359,1.090079389,1.387928501,8.271156146,8.687331532,0.404162917,1.191490883,1.266313173,0.404162917,1.654634553,1.616081744,0.397763887,1.122646648,0.746672846
"TNFRSF13B","increased","Diabetes Mellitis",-2.443,1.064,-3.507,0.602,1.914,3.181,5.115,1.608,2.672,5.862684007,3.905567504,3.922736281,6.237591935,5.633877434,3.856091811,5.458283212,6.976706114,4.985297707,2.533743319,5.569226609,4.449290221,7.345152681,5.728357638,5.61485414,5.915013049,3.969236233,7.054656522,3.785704203,5.151359527,3.460312945,2.637020426,0.403363038,2.69459396,0.426559521,2.462954459,1.021751519,2.669862696,2.447212526,5.983387752,2.158248653,0.436158066,0.442557096,2.376768533,2.654638801,4.877217949
"ATF3","decreased","Diabetes Mellitis",3.367,4.416,-1.049,0.62,0.71,1.146,8.256,7.207,11.623,7.656132734,8.295051468,7.767067131,7.858064509,7.982145924,8.565818561,7.85640938,8.355213037,8.242579061,8.168758238,10.1460226,7.658450803,8.678643962,7.592182086,8.081546119,8.515112709,7.475365971,8.146194521,9.151175564,8.799859707,8.394065313,7.507419399,7.069170672,7.381491561,7.384126979,6.993012384,6.90446026,11.68679252,11.01404191,10.75406366,11.8431596,12.71844614,11.50705763,10.22742615,12.06269557,12.78930985
"ATF6B","increased","Diabetes Mellitis",-1.901,-3.143,1.242,1.873,1.528,0.816,5.503,6.745,3.602,6.776689858,6.690314592,6.894170244,7.556536568,7.428343346,0.397763887,7.45316142,6.013622471,0.539065338,5.618866482,5.65738101,5.934529391,8.345263472,0.397763887,5.653703683,7.374456247,8.004857105,6.763517732,5.65738101,0.538265459,5.864606687,6.800518473,7.007772062,6.427722474,8.01958018,6.376051217,5.839359387,0.788927876,7.970194487,1.266313173,0.404162917,1.654634553,6.92842557,0.485446671,7.169778796,5.751739612
"C11orf87","decreased","Diabetes Mellitis",2.972,-0.591,3.563,1.096,0.517,0.471,3.176,6.739,6.148,4.534858576,2.777862212,7.475109358,3.197097342,3.17860443,2.158248653,0.788927876,2.012436927,0.539065338,0.397763887,2.840255054,4.886056057,2.998649634,4.123659967,1.8756988,3.816447167,5.495287309,3.922736281,1.365201229,2.69459396,5.609946628,4.180068372,7.809792412,7.624866217,6.513865283,7.435745035,6.866819202,6.53062033,7.67220104,6.322450321,5.697619513,5.652425263,6.385494344,4.98945788,6.20094042,5.88468562
"MB","increased","Diabetes Mellitis",-0.898,-2.568,1.67,2.356,1.474,0.626,2.792,4.462,1.894,12.8131103,0.704417815,0.517137944,0.397763887,2.032767645,2.540986841,4.501503704,4.373161856,2.987285997,0.397763887,1.365201229,2.376768533,5.918696065,1.654634553,1.8756988,1.635358149,1.976491825,2.012436927,1.365201229,2.230442202,4.956616434,2.860378111,6.39631045,4.479988842,1.387928501,5.729925161,5.916543851,0.404162917,0.419360613,2.947955558,2.158248653,3.612535778,1.616081744,1.939208231,1.122646648,2.829306484
"STMN2","increased","Diabetes Mellitis",-2.567,-0.215,-2.352,1.25,3.985,3.188,3.427,1.075,0.86,5.105318298,2.654638801,3.376495105,2.708146745,4.271576041,5.421338247,3.685518103,4.373161856,5.155943439,0.397763887,3.282401135,1.762438914,5.264840658,4.187430557,5.61485414,6.451753976,0.876175611,2.992002333,0.399363645,1.976491825,2.012436927,1.365201229,0.849531882,0.421760249,1.387928501,1.939208231,0.485446671,0.788927876,0.419360613,1.266313173,1.04900997,1.654634553,0.442557096,1.283524232,0.434558309,0.40256316
"CCL19","increased","Diabetes Mellitis",-4.054,-0.471,-3.583,1.075,1.644,1.53,10.345,6.762,6.291,10.0214948,10.48416946,9.109733197,10.59952773,11.79394192,10.95905846,11.09814066,12.22853843,10.6464741,10.55475453,9.583477391,9.041688326,12.32660391,11.62473783,11.31737264,11.39722801,6.827047665,12.9466136,5.075601443,8.14611513,11.46565072,6.978780119,5.160938999,6.663742294,7.069009151,9.204296581,5.494251537,6.556142938,6.338748949,5.840430671,4.844133449,6.28765358,6.703280856,6.827047665,6.07708944,7.148126564
"TTTY14","decreased","Diabetes Mellitis",2.857,-0.344,3.201,1.044,0.637,0.61,5.005,8.206,7.862,8.960718522,8.931478362,9.135809131,9.032894077,8.892731428,9.25836157,0.788927876,0.645282934,1.369917564,9.081774445,9.032232083,0.399363645,0.538265459,0.445756611,0.581817451,8.55545316,0.40256316,8.679063056,0.607275569,0.538265459,9.233652504,9.625008604,9.729307377,9.632953827,1.387928501,9.571681075,9.28947145,9.247765619,9.649851033,2.947955558,9.517400891,1.654634553,9.352935438,9.410199478,9.480728965,9.496765026
"GSTT1","decreased","Diabetes Mellitis",2.807,-0.792,3.599,1.086,0.696,0.641,6.415,10.014,9.222,0.436158066,11.09334572,11.05162713,1.3812812,10.89036591,0.451355762,10.34880538,10.96223947,1.369917564,11.05857673,0.923946856,0.399363645,11.2088608,0.849531882,10.73510327,10.69603848,11.7278434,0.923946856,2.436186927,12.32002562,3.460312945,12.38943939,11.30931648,2.134593951,11.19706919,11.79273966,11.26100271,12.06580418,11.26464097,0.404162917,11.07569373,11.28718087,2.58224178,11.10215284,11.22764781,11.98651769
"MIR3189","decreased","Diabetes Mellitis",3.397,3.212,0.185,0.581,0.557,0.958,4.266,4.451,7.663,2.97937865,3.633229056,4.838628368,4.319617393,3.748914742,4.447918473,5.305720231,4.98945788,4.861853255,5.746578992,4.785947706,3.87914731,5.028081685,2.769487603,4.318276665,4.487609391,5.059598462,3.464188365,6.002469741,4.513837929,0.398563766,4.549394947,4.09245356,4.351313741,4.511066048,5.053473161,4.149542017,8.065247644,8.228199415,7.669891727,8.897080038,8.278709922,7.63842999,4.727863035,7.629306157,7.833015681
"CSNK2B","increased","Diabetes Mellitis",-1.086,1.554,-2.64,0.52,1.335,2.568,4.324,1.684,3.238,0.397763887,7.313045945,0.517137944,0.397763887,6.212314689,0.451355762,6.552234516,7.34121644,7.153296236,7.41517509,6.20094042,5.763908073,6.104776722,0.445756611,7.361599688,6.451753976,0.876175611,0.451355762,0.607275569,5.653703683,7.129529884,0.538265459,0.849531882,1.090079389,0.426559521,0.538265459,6.660444426,6.731137446,1.191490883,1.266313173,7.570468979,8.499075382,1.616081744,0.397763887,1.122646648,0.746672846
"CTLA4","increased","Diabetes Mellitis",-1.283,2.193,-3.476,0.481,1.304,2.709,5.51,2.034,4.227,5.713654378,5.151359527,4.542370466,5.093924519,6.34809127,6.157385979,5.997889512,6.144951305,5.333809569,3.864357507,5.701407153,4.936463393,7.155740294,5.82764932,5.983387752,6.691473651,3.261214595,7.512053972,3.876254437,4.231529702,6.176063649,0.538265459,0.849531882,0.421760249,2.97937865,3.597108224,3.816447167,2.983332323,3.421145623,4.904415591,4.346836863,5.062515722,3.091121373,5.056198999,3.612535778,5.566564234
"MYBPC1","increased","Diabetes Mellitis",-1.462,-3.388,1.926,3.826,2.219,0.58,2.661,4.587,1.199,14.33092134,2.487612698,1.740769703,1.042362669,0.876175611,0.451355762,5.916543851,2.242143876,0.539065338,0.397763887,0.485446671,2.032767645,5.783097152,0.849531882,3.515999217,2.504361916,0.40256316,2.760054933,4.974651751,0.538265459,2.012436927,1.365201229,7.382723758,4.027248285,1.387928501,6.119404537,7.239572397,0.404162917,1.191490883,0.404162917,1.04900997,1.654634553,0.442557096,1.283524232,2.654638801,1.705805889
"MYCNOS","decreased","Diabetes Mellitis",2.269,-0.712,2.981,1.117,0.628,0.563,3.833,6.814,6.102,4.212293986,3.301384602,4.982576852,5.60820243,4.747057515,4.144849952,3.040142366,2.012436927,2.650776869,2.72867262,5.418447844,5.631979349,1.397102989,4.035016674,3.073819626,1.893629882,6.343093134,5.103922831,2.764771268,3.79572521,3.600766498,7.470651045,6.969254319,6.840615627,5.649440088,7.134797411,6.820703261,6.105066894,6.109297889,5.876104227,5.658772774,6.885903317,7.146334482,5.16697484,6.547871345,5.418447844
